공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url,재학생충원율_기준시점,학생정원_raw29,학생모집정지인원_raw29,재학생수(학부)_raw29,정원내재학생수_raw29,정원내재학생충원율,입학정원(학부)_raw27,신입생충원율(학부)_raw27,신입생경쟁률(학부)_raw27,재학생수(학부)_raw31,정원내재학생수_raw31,정원외재학생수_raw31,재학생충원율_원자료파일
2026,0000531,0000531,전북과학대학교,본교,전문대학,전문대학,사립,전북,기존,592,1600,2.6,96.1,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000025,0000025,전북대학교,본교,대학,대학교,국립,전북,기존,4077,17841,7.4,99.9,2025,110.3,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,16181.0,0.0,17841.0,15955.0,98.6,4077.0,99.9,7.4,17841.0,15955.0,1886.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000258,0000258,전주교육대학교,본교,대학,교육대학,국립,전북,기존,285,1019,4.8,100.0,2025,92.1,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1106.0,0.0,1019.0,949.0,85.8,285.0,100.0,4.8,1019.0,949.0,70.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000437,0000437,전주기전대학,본교,전문대학,전문대학,사립,전북,기존,772,1787,2.1,97.4,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000171,0000171,전주대학교,본교,대학,대학교,사립,전북,기존,2512,10147,4.7,99.6,2025,100.0,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,10143.0,0.0,10147.0,9348.0,92.2,2512.0,99.6,4.7,10147.0,9348.0,799.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000530,0000530,전주비전대학교,본교,전문대학,전문대학,사립,전북,기존,1035,2852,5.3,83.0,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000288,0000288,정석대학,본교,대학,기술대학,사립,서울,기존,100,23,.1,11.0,2025,11.5,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,200.0,0.0,23.0,23.0,11.5,100.0,11.0,0.1,23.0,23.0,0.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0002668,0002668,제네바신학대학원대학교,본교,대학원대학,전문대학원,사립,경기,기존,30,4,-,3.3,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000532,0000532,제주관광대학교,본교,전문대학,전문대학,사립,제주,기존,820,1541,1.9,91.7,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000248,0000248,제주국제대학교,본교,대학,대학교,사립,제주,기존,370,263,.1,2.7,2025,17.8,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1480.0,0.0,263.0,103.0,7.0,370.0,2.7,0.1,263.0,103.0,160.0,academyinfo_2025_29_student_fill_school.xlsx
