공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url
2026,0000149,0000150,연세대학교(미래),분교,대학,대학교,사립,강원,기존,1416,6931,9.1,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002652,0002652,연암공과대학교,본교,전문대학,전문대학,사립,경남,기존,496,1102,5.8,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000512,0000512,연암대학교,본교,전문대학,전문대학,사립,충남,기존,483,1119,4,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000151,0000151,영남대학교,본교,대학,대학교,사립,경북,기존,4661,20623,6.3,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000153,0000153,영남신학대학교,본교,대학,대학교,사립,경북,기존,115,371,1.8,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000418,0000418,영남외국어대학,본교,전문대학,전문대학,사립,경북,기존,278,472,1.9,70.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000513,0000513,영남이공대학교,본교,전문대학,전문대학,사립,대구,기존,2156,5864,6.9,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0003193,0003194,영산대학교(양산),제2캠퍼스,대학,대학교,사립,경남,기존,669,2722,4.1,99.7,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0003193,0003193,영산대학교(해운대),본교,대학,대학교,사립,부산,기존,625,2974,3.8,99.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000155,0000155,영산선학대학교,본교,대학,대학교,사립,전남,기존,50,23,.1,6.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000575,0000575,영진사이버대학교,본교,전문대학,사이버대학(전문대학),사립,대구,기존,1300,3300,.8,82.5,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000517,0000517,영진전문대학교,본교,전문대학,전문대학,사립,대구,기존,2444,7300,5.9,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000651,0000651,예명대학원대학교,본교,대학원대학,전문대학원,사립,서울,기존,88,330,-,101.1,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000228,0000228,예수대학교,본교,대학,대학교,사립,전북,기존,115,480,7.4,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000218,0000218,예원예술대학교,본교,대학,대학교,사립,전북,기존,46,537,2.5,97.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000218,0000219,예원예술대학교,제2캠퍼스,대학,대학교,사립,경기,기존,185,699,6.8,98.4,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002653,0002653,오산대학교,본교,전문대학,전문대학,사립,경기,기존,1782,4227,8.6,94.2,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000654,0000654,온석대학원대학교,본교,대학원대학,전문대학원,사립,경기,기존,69,331,-,115.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000156,0000156,용인대학교,본교,대학,대학교,사립,경기,기존,1262,5326,10.2,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000520,0000520,용인예술과학대학교,본교,전문대학,전문대학,사립,경기,기존,1046,2554,7.1,88.2,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000157,0000157,우석대학교,본교,대학,대학교,사립,전북,기존,1487,6629,4.9,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000240,0000240,우송대학교,본교,대학,대학교,사립,대전,기존,1993,9680,8.6,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
