reference_year,row_no,university_name,school_type,founding_type,region_name,size_group,university_total_settlement,books_purchase_expense,serials_purchase_expense,non_book_purchase_expense,electronic_resources_total,electronic_journals_expense,web_db_expense,subscribed_ebook_expense,other_electronic_resources_expense,total_material_purchase_expense,enrolled_students_current_year,material_purchase_expense_per_student,source_file_name,metric_calc_status,metric_value_was_infinite_or_invalid,scope_school_id,is_scope34_exact,is_comparison11,standardization_source,material_purchase_expense_per_student_formula_recalculated
2021,223,성공회대학교,대학,사립,서울,C그룹,29134395356,59389986,16240519,1991200,52985113,58158871,0,6721051,195486740,195486740,2439,80150.4,기본통계_예산및결산_20260422104615.xls,ok,False,0000132,True,False,processed_csv_candidate_not_raw_verified,80150.36490364904
2021,224,성균관대학교,대학,사립,서울,A그룹,609101010429,865393768,363736806,13065310,1890125070,1304180493,0,129861726,4566363173,4566363173,27100,168500.5,기본통계_예산및결산_20260422104615.xls,ok,False,0000133,True,False,processed_csv_candidate_not_raw_verified,168500.4860885609
2021,227,성신여자대학교,대학,사립,서울,A그룹,121912340323,140958180,42716397,361600,357489865,115749261,0,42613397,699888700,699888700,9643,72580.0,기본통계_예산및결산_20260422104615.xls,ok,False,0000136,True,True,processed_csv_candidate_not_raw_verified,72579.97511147983
2021,233,세종대학교,대학,사립,서울,A그룹,177427476842,87565922,38178469,0,889199775,405293946,0,11000000,1431238112,1431238112,14454,99020.2,기본통계_예산및결산_20260422104615.xls,ok,False,0000138,True,True,processed_csv_candidate_not_raw_verified,99020.2097689221
2021,244,숙명여자대학교,대학,사립,서울,A그룹,165252883870,383902330,25880671,961590,1118677209,295574018,0,122170020,1947165838,1947165838,12391,157143.6,기본통계_예산및결산_20260422104615.xls,ok,False,0000141,True,True,processed_csv_candidate_not_raw_verified,157143.55887337585
2021,249,숭실대학교,대학,사립,서울,A그룹,220039801395,802967124,72742373,4201520,813029603,428353775,0,67765915,2189060310,2189060310,16141,135621.1,기본통계_예산및결산_20260422104615.xls,ok,False,0000143,True,True,processed_csv_candidate_not_raw_verified,135621.10835759866
2021,269,연세대학교,대학,사립,서울,A그룹,847554156133,1113613246,408307346,54250380,5042920801,1359894704,0,107506707,8086493184,8086493184,30267,267171.9,기본통계_예산및결산_20260422104615.xls,ok,False,0000149,True,False,processed_csv_candidate_not_raw_verified,267171.94251164637
2021,304,이화여자대학교,대학,사립,서울,A그룹,369456232193,848855333,671851780,1838181,2323753377,876842562,0,99310428,4822451661,4822451661,21050,229095.1,기본통계_예산및결산_20260422104615.xls,ok,False,0000163,True,True,processed_csv_candidate_not_raw_verified,229095.090783848
2021,313,장로회신학대학교,대학,사립,서울,C그룹,28963441315,66045310,45657730,0,48414159,11363223,0,3778311,175258733,175258733,2151,81477.8,기본통계_예산및결산_20260422104615.xls,ok,False,0000170,True,False,processed_csv_candidate_not_raw_verified,81477.7931194793
2021,334,중앙대학교,대학,사립,서울,A그룹,391638339139,634713908,211180460,31977090,2200178161,837085272,0,156130334,4071265225,4071265225,29194,139455.5,기본통계_예산및결산_20260422104615.xls,ok,False,0000175,True,False,processed_csv_candidate_not_raw_verified,139455.54651640748
2021,348,총신대학교,대학,사립,서울,C그룹,47130341407,103429810,68546600,0,46842000,64028705,0,15500000,298347115,298347115,3781,78906.9,기본통계_예산및결산_20260422104615.xls,ok,False,0000180,True,False,processed_csv_candidate_not_raw_verified,78906.93335096535
2021,349,추계예술대학교,대학,사립,서울,C그룹,17705147572,55403510,16509830,11046600,11275000,3292500,0,7196200,104723640,104723640,1260,83114.0,기본통계_예산및결산_20260422104615.xls,ok,False,0000181,True,False,processed_csv_candidate_not_raw_verified,83114.0
2021,378,한국성서대학교,대학,사립,서울,C그룹,16322638830,27148180,18767100,0,0,41428384,0,24654558,111998222,111998222,1240,90321.1,기본통계_예산및결산_20260422104615.xls,ok,False,0000191,True,False,processed_csv_candidate_not_raw_verified,90321.14677419355
2021,384,한국외국어대학교,대학,사립,서울,A그룹,218518644392,558885910,116862861,847649,890110478,245773146,0,11433728,1823913772,1823913772,19858,91847.8,기본통계_예산및결산_20260422104615.xls,ok,False,0000192,True,False,processed_csv_candidate_not_raw_verified,91847.80803706315
