기준년도,학교명,캠퍼스구분,학교종류,설립구분,지역,재학생수,기숙사실수,기숙사수용인원,기숙사지원자수,기숙사경쟁률,기숙사수용률
2019,추계예술대학교,본교,대학교,사립,서울,1246.0,39,94,35.0,0.4,7.5
2019,한국성서대학교,본교,대학교,사립,서울,1126.0,43,172,163.0,0.9,15.3
2019,한국외국어대학교,본교,대학교,사립,서울,19240.0,1652,3443,6662.0,1.9,17.9
2019,한성대학교,본교,대학교,사립,서울,6738.0,291,757,714.0,0.9,11.2
2019,한양대학교,본교,대학교,사립,서울,19906.0,1015,2322,3476.0,1.5,11.7
2019,홍익대학교,본교,대학교,사립,서울,14100.0,801,1811,2343.0,1.3,12.8
2020,감리교신학대학교,본교,대학교,사립,서울,1403.0,150,300,72.0,0.2,21.4
2020,강서대학교,본교,대학교,사립,서울,1328.0,32,96,112.0,1.2,7.2
2020,건국대학교,본교,대학교,사립,서울,17520.0,1728,3309,4138.0,1.3,18.9
2020,경희대학교,본교,대학교,사립,서울,28793.0,2857,5943,8131.0,1.4,20.6
2020,고려대학교,본교,대학교,사립,서울,26307.0,1331,2851,4401.0,1.5,10.8
2020,광운대학교,본교,대학교,사립,서울,8631.0,515,1067,1446.0,1.4,12.4
2020,국민대학교,본교,대학교,사립,서울,15922.0,616,1858,3035.0,1.6,11.7
2020,덕성여자대학교,본교,대학교,사립,서울,5629.0,472,861,1164.0,1.4,15.3
2020,동국대학교,본교,대학교,사립,서울,15659.0,820,1782,2236.0,1.3,11.4
2020,동덕여자대학교,본교,대학교,사립,서울,7062.0,193,758,30.0,0.0,10.7
2020,삼육대학교,본교,대학교,사립,서울,5937.0,508,1575,1222.0,0.8,26.5
2020,상명대학교,본교,대학교,사립,서울,7307.0,192,754,741.0,1.0,10.3
2020,서강대학교,본교,대학교,사립,서울,9936.0,563,1292,1669.0,1.3,13.0
2020,서경대학교,본교,대학교,사립,서울,6121.0,176,680,543.0,0.8,11.1
2020,서울기독대학교,본교,대학교,사립,서울,614.0,0,0,0.0,0.0,0.0
2020,서울여자대학교,본교,대학교,사립,서울,7313.0,348,883,1463.0,1.7,12.1
2020,서울한영대학교,본교,대학교,사립,서울,754.0,24,108,29.0,0.3,14.3
2020,성공회대학교,본교,대학교,사립,서울,2184.0,223,487,319.0,0.7,22.3
2020,성균관대학교,본교,대학교,사립,서울,24638.0,2711,5280,6724.0,1.3,21.4
2020,성신여자대학교,본교,대학교,사립,서울,9302.0,373,902,1270.0,1.4,9.7
2020,세종대학교,본교,대학교,사립,서울,12927.0,544,1427,2331.0,1.6,11.0
2020,숙명여자대학교,본교,대학교,사립,서울,10703.0,622,1342,1450.0,1.1,12.5
2020,숭실대학교,본교,대학교,사립,서울,14815.0,803,1700,2724.0,1.6,11.5
2020,연세대학교,본교,대학교,사립,서울,26353.0,4213,9634,5083.0,0.5,36.6
2020,이화여자대학교,본교,대학교,사립,서울,19083.0,2497,4362,984.0,0.2,22.9
2020,장로회신학대학교,본교,대학교,사립,서울,2024.0,185,658,731.0,1.1,32.5
2020,중앙대학교,본교,대학교,사립,서울,22160.0,1295,2679,4962.0,1.9,12.1
2020,총신대학교,본교,대학교,사립,서울,3146.0,408,1623,1390.0,0.9,51.6
2020,추계예술대학교,본교,대학교,사립,서울,1193.0,63,166,30.0,0.2,13.9
2020,한국성서대학교,본교,대학교,사립,서울,1094.0,42,168,152.0,0.9,15.4
2020,한국외국어대학교,본교,대학교,사립,서울,18935.0,1785,3709,6595.0,1.8,19.6
2020,한성대학교,본교,대학교,사립,서울,6717.0,292,745,930.0,1.2,11.1
2020,한양대학교,본교,대학교,사립,서울,19557.0,1022,2326,3335.0,1.4,11.9
2020,홍익대학교,본교,대학교,사립,서울,13764.0,816,1841,2990.0,1.6,13.4
2021,감리교신학대학교,본교,대학교,사립,서울,1327.0,150,300,149.0,0.5,22.6
2021,강서대학교,본교,대학교,사립,서울,1654.0,32,96,43.0,0.4,5.8
2021,건국대학교,본교,대학교,사립,서울,17544.0,1728,3309,2976.0,0.9,18.9
2021,경희대학교,본교,대학교,사립,서울,29827.0,2634,5105,4690.0,0.9,17.1
2021,고려대학교,본교,대학교,사립,서울,26232.0,1512,3205,4003.0,1.2,12.2
2021,광운대학교,본교,대학교,사립,서울,8873.0,517,1069,1089.0,1.0,12.0
2021,국민대학교,본교,대학교,사립,서울,16207.0,616,1858,2460.0,1.3,11.5
2021,덕성여자대학교,본교,대학교,사립,서울,5731.0,470,750,799.0,1.1,13.1
2021,동국대학교,본교,대학교,사립,서울,15550.0,819,1782,1723.0,1.0,11.5
2021,동덕여자대학교,본교,대학교,사립,서울,7273.0,193,758,293.0,0.4,10.4
2021,삼육대학교,본교,대학교,사립,서울,5827.0,508,1575,731.0,0.5,27.0
2021,상명대학교,본교,대학교,사립,서울,7249.0,189,614,314.0,0.5,8.5
2021,서강대학교,본교,대학교,사립,서울,10067.0,559,1284,1180.0,0.9,12.8
2021,서경대학교,본교,대학교,사립,서울,6334.0,176,680,373.0,0.5,10.7
