기준년도,학교명,부담율
2012,대전신학대학교,109.0
2012,대진대학교,100.1
2012,덕성여자대학교,100.1
2012,동국대학교,23.6
2012,동덕여자대학교,11.0
2012,동명대학교,34.0
2012,동서대학교,6.7
2012,동신대학교,100.0
2012,동아대학교,30.8
2012,동양대학교,42.5
2012,동의대학교,24.6
2012,디지털서울문화예술대학교,0.0
2012,루터대학교,104.4
2012,명지대학교,0.0
2012,목원대학교,44.0
2012,목포가톨릭대학교,15.3
2012,배재대학교,46.0
2012,백석대학교,13.1
2012,부산가톨릭대학교,80.8
2012,부산디지털대학교,90.0
2012,부산외국어대학교,10.4
2012,부산장신대학교,82.2
2012,사이버한국외국어대학교,33.6
2012,삼육대학교,62.8
2012,상명대학교,14.8
2012,상지대학교,4.5
2012,서강대학교,11.5
2012,서경대학교,62.6
2012,서울기독대학교,78.4
2012,서울디지털대학교,32.9
2012,서울사이버대학교,100.2
2012,서울신학대학교,63.4
2012,서울여자대학교,3.3
2012,서울장신대학교,62.8
2012,서울한영대학교,100.0
2012,서원대학교,9.1
2012,선문대학교,101.9
2012,성결대학교,8.6
2012,성공회대학교,19.9
2012,성균관대학교,98.3
2012,성신여자대학교,4.9
2012,세명대학교,56.4
2012,세종대학교,40.7
2012,세종사이버대학교,48.2
2012,세한대학교,90.8
2012,송원대학교,100.2
2012,수원가톨릭대학교,100.5
2012,수원대학교,11.2
2012,숙명여자대학교,6.7
2012,순복음총회신학교,120.9
2012,순천향대학교,100.0
2012,숭실대학교,10.2
2012,숭실사이버대학교,6.1
2012,신경대학교,45.5
2012,신라대학교,10.4
2012,아세아연합신학대학교,64.0
2012,아주대학교,77.7
2012,안양대학교,11.0
2012,연세대학교,87.7
2012,열린사이버대학교,0.0
2012,영남대학교,13.0
2012,영남신학대학교,100.0
2012,영동대학교,51.9
2012,영산대학교,100.7
2012,영산선학대학교,100.0
2012,예수대학교,52.9
2012,예원예술대학교,104.4
2012,용인대학교,6.2
2012,우석대학교,28.9
2012,우송대학교,79.9
2012,울산대학교,86.4
2012,원광대학교,70.6
2012,원광디지털대학교,82.3
2012,위덕대학교,100.1
2012,을지대학교,161.8
2012,이화여자대학교,100.1
2012,인제대학교,103.2
2012,인천가톨릭대학교,105.7
2012,인하대학교,66.9
2012,장로회신학대학교,95.7
2012,전주대학교,10.5
2012,제주국제대학교,0.0
2012,조선대학교,9.4
2012,중부대학교,100.4
2012,중앙대학교,61.0
2012,중앙승가대학교,134.0
2012,중원대학교,101.1
2012,차의과학대학교,100.0
2012,창신대학교,104.4
2012,청운대학교,11.6
2012,청주대학교,5.9
2012,초당대학교,68.6
2012,총신대학교,6.7
2012,추계예술대학교,19.9
2012,침례신학대학교,23.5
2012,칼빈대학교,0.0
2012,평택대학교,14.0
2012,포항공과대학교,135.7
2012,한국국제대학교,0.0
2012,한국기술교육대학교,98.3
2012,한국산업기술대학교,85.8
2012,한국성서대학교,70.3
2012,한국외국어대학교,23.2
2012,한국항공대학교,65.3
2012,한남대학교,11.4
2012,한동대학교,102.1
2012,한라대학교,71.0
2012,한려대학교,122.6
2012,한림대학교,100.0
2012,한북대학교,0.0
2012,한서대학교,60.5
2012,한성대학교,0.2
2012,한세대학교,100.0
2012,한신대학교,21.1
2012,한양대학교,60.6
2012,한양사이버대학교,60.7
2012,한일장신대학교,110.9
2012,한중대학교,0.7
2012,협성대학교,42.8
2012,호남대학교,17.0
2012,호남신학대학교,100.0
2012,호서대학교,10.3
2012,호원대학교,54.7
2012,홍익대학교,20.7
2012,화신사이버대학교,27.1
2013,가야대학교(김해),14.7
2013,가천대학교,73.2
2013,가톨릭관동대학교,16.7
2013,가톨릭대학교,102.3
2013,감리교신학대학교,101.3
2013,강남대학교,11.0
2013,강서대학교,20.6
2013,건국대학교,100.0
2013,건양대학교,100.4
2013,건양사이버대학교,100.0
2013,경기대학교,10.3
2013,경남대학교,72.8
2013,경동대학교,100.0
2013,경성대학교,5.5
2013,경운대학교,40.6
2013,경일대학교,12.8
2013,경주대학교,10.7
2013,경희대학교,65.2
2013,경희사이버대학교,34.9
2013,계명대학교,56.2
2013,고려대학교,59.6
2013,고려사이버대학교,50.5
2013,고신대학교,101.7
2013,광신대학교,106.4
2013,광운대학교,12.5
2013,광주가톨릭대학교,100.0
2013,광주대학교,51.3
2013,광주여자대학교,4.0
2013,국민대학교,59.6
2013,국제사이버대학교,0.0
2013,극동대학교,10.1
2013,글로벌사이버대학교,71.3
2013,금강대학교,98.9
2013,김천대학교,68.9
2013,꽃동네대학교,102.2
2013,나사렛대학교,14.5
2013,남부대학교,100.0
2013,남서울대학교,40.5
2013,단국대학교,11.9
2013,대구가톨릭대학교,100.0
2013,대구대학교,0.0
2013,대구사이버대학교,0.0
2013,대구예술대학교,12.5
2013,대구외국어대학교,37.2
2013,대구한의대학교,10.3
2013,대신대학교,101.6
2013,대전가톨릭대학교,114.8
2013,대전대학교,70.3
2013,대전신학대학교,82.9
2013,대진대학교,100.0
2013,덕성여자대학교,100.0
2013,동국대학교,24.3
2013,동덕여자대학교,11.5
2013,동명대학교,32.6
2013,동서대학교,10.9
2013,동신대학교,100.0
2013,동아대학교,29.9
2013,동양대학교,57.9
2013,동의대학교,24.8
2013,디지털서울문화예술대학교,0.0
2013,루터대학교,115.9
2013,명지대학교,0.0
2013,목원대학교,30.4
2013,목포가톨릭대학교,67.7
2013,배재대학교,25.2
2013,백석대학교,12.0
2013,부산가톨릭대학교,70.3
2013,부산디지털대학교,69.9
2013,부산외국어대학교,69.5
2013,부산장신대학교,77.1
2013,사이버한국외국어대학교,91.4
2013,삼육대학교,58.5
2013,상명대학교,10.4
2013,상지대학교,2.9
2013,서강대학교,10.8
2013,서경대학교,52.8
2013,서남대학교,0.0
2013,서울기독대학교,56.3
2013,서울디지털대학교,54.8
2013,서울사이버대학교,104.9
2013,서울신학대학교,101.9
2013,서울여자대학교,3.8
2013,서울장신대학교,44.2
2013,서울한영대학교,100.0
2013,서원대학교,50.6
2013,선문대학교,100.4
2013,성결대학교,100.9
2013,성공회대학교,41.1
2013,성균관대학교,116.5
2013,성신여자대학교,4.2
2013,세명대학교,49.1
2013,세종대학교,26.9
2013,세종사이버대학교,45.7
2013,세한대학교,42.6
2013,송원대학교,62.6
2013,수원가톨릭대학교,101.8
2013,수원대학교,17.7
2013,숙명여자대학교,1.4
2013,순복음총회신학교,0.0
2013,순천향대학교,100.0
2013,숭실대학교,40.0
2013,숭실사이버대학교,6.7
2013,신경대학교,0.0
2013,신라대학교,42.5
2013,신한대학교,0.0
2013,아세아연합신학대학교,70.6
2013,아주대학교,80.6
2013,안양대학교,11.4
2013,연세대학교,87.3
2013,열린사이버대학교,0.0
2013,영남대학교,45.2
2013,영남신학대학교,100.0
2013,영동대학교,41.1
2013,영산대학교,100.1
2013,영산선학대학교,100.0
2013,예수대학교,42.7
2013,예원예술대학교,104.9
2013,용인대학교,7.0
2013,우석대학교,42.1
2013,우송대학교,80.6
2013,울산대학교,102.1
2013,원광대학교,70.5
2013,원광디지털대학교,76.0
2013,위덕대학교,31.7
2013,을지대학교,145.2
2013,이화여자대학교,55.5
2013,인제대학교,100.0
2013,인천가톨릭대학교,119.9
2013,인하대학교,63.9
2013,장로회신학대학교,71.5
2013,전주대학교,10.0
2013,제주국제대학교,0.0
2013,조선대학교,14.1
2013,중부대학교,100.0
2013,중앙대학교,60.4
2013,중앙승가대학교,133.9
2013,중원대학교,100.9
2013,차의과학대학교,100.0
2013,창신대학교,126.7
2013,청운대학교,12.6
2013,청주대학교,6.7
2013,초당대학교,70.8
2013,총신대학교,11.4
2013,추계예술대학교,25.5
2013,침례신학대학교,22.4
2013,칼빈대학교,0.0
2013,평택대학교,18.4
2013,포항공과대학교,105.7
2013,한국국제대학교,0.0
2013,한국기술교육대학교,106.6
2013,한국산업기술대학교,50.8
2013,한국성서대학교,80.1
2013,한국외국어대학교,59.6
2013,한국항공대학교,64.3
2013,한남대학교,3.0
2013,한동대학교,57.2
2013,한라대학교,102.3
2013,한려대학교,171.1
2013,한림대학교,100.0
2013,한북대학교,0.0
2013,한서대학교,44.0
2013,한성대학교,10.1
2013,한세대학교,100.0
2013,한신대학교,48.8
2013,한양대학교,60.2
2013,한양사이버대학교,58.8
2013,한일장신대학교,100.4
2013,한중대학교,0.0
2013,협성대학교,40.8
2013,호남대학교,12.3
2013,호남신학대학교,100.0
2013,호서대학교,10.8
2013,호원대학교,14.9
2013,홍익대학교,20.3
2013,화신사이버대학교,37.8
2014,가야대학교(김해),12.7
2014,가천대학교,99.6
2014,가톨릭관동대학교,86.4
2014,가톨릭대학교,101.7
2014,감리교신학대학교,103.6
2014,강남대학교,11.5
2014,강서대학교,2.3
2014,건국대학교,66.1
2014,건양대학교,100.0
2014,건양사이버대학교,100.0
2014,경기대학교,10.6
2014,경남대학교,61.3
2014,경동대학교,100.0
2014,경성대학교,5.1
2014,경운대학교,12.7
2014,경일대학교,0.6
2014,경주대학교,14.7
2014,경희대학교,59.4
2014,경희사이버대학교,36.0
2014,계명대학교,55.1
2014,고려대학교,59.4
2014,고려사이버대학교,45.7
2014,고신대학교,100.0
2014,광신대학교,101.1
2014,광운대학교,2.8
2014,광주가톨릭대학교,100.0
2014,광주대학교,11.0
2014,광주여자대학교,10.9
2014,국민대학교,56.8
2014,국제사이버대학교,0.0
2014,극동대학교,0.0
2014,글로벌사이버대학교,0.0
2014,금강대학교,100.0
2014,김천대학교,26.3
2014,꽃동네대학교,102.6
