reference_year,evaluation_cycle,university_name,founding_type,region_name,source_file_name,undergrad_enrolled_within_quota,undergrad_enrolled_total,total_enrolled_students_basis_1,total_enrolled_students_basis_2,total_enrolled_students_basis_3,full_time_faculty_count,legal_faculty_quota,full_time_faculty_rate_pct_original,full_time_faculty_rate_pct_recalculated,adjunct_faculty_rate_pct_original,faculty_combined_rate_pct_original,building_facility_area_sqm,building_required_area_sqm,building_facility_rate_pct_original,building_facility_rate_pct_recalculated,freshman_admissions_within_quota,freshman_recruitment_quota,freshman_fill_rate_pct_original,freshman_fill_rate_pct_recalculated,enrolled_students_within_quota,adjusted_student_quota,student_fill_rate_pct_original,student_fill_rate_pct_recalculated,student_recruitment_performance_pct_original,total_education_cost_krw,tuition_revenue_for_education_return_krw,education_cost_return_rate_pct_original,education_cost_return_rate_pct_recalculated,scholarship_amount_krw,tuition_revenue_for_scholarship_krw,scholarship_ratio_pct_original,scholarship_ratio_pct_recalculated,tuition_revenue_for_operating_revenue_ratio_krw,operating_revenue_for_tuition_ratio_krw,tuition_revenue_ratio_pct_original,tuition_revenue_ratio_pct_recalculated,donation_amount_krw,operating_revenue_for_donation_ratio_krw,donation_ratio_pct_original,donation_ratio_pct_recalculated,corporate_transfer_amount_krw,operating_revenue_for_corporate_transfer_krw,corporate_transfer_ratio_pct_original,corporate_transfer_ratio_pct_recalculated,legal_burden_paid_krw,legal_burden_standard_krw,legal_burden_rate_pct_original,legal_burden_rate_pct_recalculated,corporate_transfer_for_corporate_finance_krw,corporate_general_account_finance_scale_krw,corporate_finance_transfer_ratio_pct_original,corporate_finance_transfer_ratio_pct_recalculated,lecturer_pay_total_krw,lecture_hours_total,lecturer_hourly_pay_krw_original,lecturer_hourly_pay_krw_recalculated,internal_research_funds_thousand_krw,full_time_faculty_count_internal_research,internal_research_funds_per_faculty_thousand_krw_original,internal_research_funds_per_faculty_thousand_krw_recalculated,staff_enrolled_students,staff_count,students_per_staff_original,students_per_staff_recalculated,dormitory_capacity,dormitory_enrolled_students,dormitory_accommodation_rate_pct_original,dormitory_accommodation_rate_pct_recalculated,dormitory_domestic_residents,dormitory_domestic_enrolled_students,dormitory_domestic_accommodation_rate_pct_original,dormitory_domestic_accommodation_rate_pct_recalculated,library_material_purchase_expense_krw,library_student_count,library_material_purchase_per_student_krw_original,library_material_purchase_per_student_krw_recalculated,library_staff_count,library_staff_enrolled_students,library_staff_per_1000_students_original,library_staff_per_1000_students_recalculated,domestic_paper_count,full_time_faculty_count_domestic_paper,domestic_papers_per_faculty_original,domestic_papers_per_faculty_recalculated,sci_paper_count,full_time_faculty_count_sci_paper,sci_papers_per_faculty_original,sci_papers_per_faculty_recalculated,book_count,full_time_faculty_count_book,books_per_faculty_original,books_per_faculty_recalculated,external_research_funds_thousand_krw,full_time_faculty_count_external_research,external_research_funds_per_faculty_thousand_krw_original,external_research_funds_per_faculty_thousand_krw_recalculated,research_performance_vs_standard_original,employment_count,graduate_count,employment_rate_pct_original,employment_rate_pct_recalculated,career_success_count,career_target_count,graduate_career_performance_pct_original,graduate_career_performance_pct_recalculated
2015,2,건국대학교(글로컬),사립,충북,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,7556.0,8381.0,8959.0,8959.0,8959.0,285.0,407.0,70.02457,70.02457,,,136614.0,117834.0,115.93767,115.93768,1762.0,1767.0,99.71703,99.71703,7556.0,7040.0,107.32954,107.32955,,,,,,9927619000.0,63606053000.0,15.60797,15.60798,,,,,,,,,,,,,,,,,,,,,1070785920.0,21449.6,49921.02043,49921.02044,1162000.0,492.0,2361.78861,2361.78862,8959.0,141.0,63.539,63.53901,2332.0,8809.0,26.47292,26.47293,,,,,871824018.0,9196.0,94804.69965,94804.69965,13.2,8959.0,1.47337,1.47338,177.8586,492.0,0.3615,0.3615,219.6092,492.0,0.44636,0.44636,20.761,492.0,0.04219,0.0422,17507854.0,492.0,35585.0691,35585.06911,14.12138,953.0,1532.0,62.20626,62.20627,,,,
2015,2,건양대학교,사립,충남,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,7517.0,8210.0,8799.0,8799.0,8799.0,288.0,401.0,71.82044,71.82045,,,195365.0,120560.0,162.04794,162.04794,1833.0,1836.0,99.8366,99.8366,7517.0,7515.0,100.02661,100.02661,,100557974650.0,58686218000.0,171.34853,171.34853,10914631000.0,53914941000.0,20.24416,20.24417,58686218000.0,110724238000.0,53.00214,53.00214,1161841000.0,110724238000.0,1.04931,1.04931,4101502000.0,110724238000.0,3.70424,3.70425,,,,,,,,,449001000.0,10179.0,44110.52166,44110.52166,151000.0,404.0,373.76237,373.76238,8799.0,183.0,48.08196,48.08197,2690.0,8479.0,31.72543,31.72544,,,,,533191190.0,8863.0,60159.22261,60159.22261,9.4,8799.0,1.0683,1.0683,155.5553,404.0,0.38503,0.38504,60.6302,404.0,0.15007,0.15007,29.6303,404.0,0.07334,0.07334,6413612.0,404.0,15875.27722,15875.27723,6.73687,1180.0,1597.0,73.88854,73.88854,,,,
2015,2,경기대학교,사립,경기,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,12602.0,14496.0,16686.0,16686.0,16686.0,514.0,785.0,65.4777,65.47771,,,210000.0,197428.0,106.36789,106.36789,2997.0,3006.0,99.70059,99.7006,12602.0,12490.0,100.89671,100.89672,,161710068750.0,126151353000.0,128.18734,128.18734,20165410000.0,105207849000.0,19.16721,19.16721,126151353000.0,179643004000.0,70.22335,70.22336,2745108000.0,179643004000.0,1.52809,1.52809,539063000.0,179643004000.0,0.30007,0.30007,,,,,,,,,1081440000.0,22267.0,48566.93762,48566.93762,1261542.0,514.0,2454.36186,2454.36187,16686.0,243.0,68.66666,68.66667,2272.0,15456.0,14.69979,14.69979,,,,,1375453403.0,17227.0,79842.88634,79842.88634,22.3,16686.0,1.33644,1.33645,367.8455,514.0,0.71565,0.71565,144.2541,514.0,0.28065,0.28065,49.5135,514.0,0.09632,0.09633,13421832.0,514.0,26112.51361,26112.51362,11.64511,1789.0,2666.0,67.10427,67.10428,,,,
2015,2,경남과학기술대학교,국립,경남,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,5178.0,5526.0,5849.0,5849.0,5849.0,174.0,285.0,61.05263,61.05263,,,93536.0,80776.0,115.79677,115.79677,1326.0,1341.0,98.88143,98.88143,5178.0,5376.0,96.31696,96.31696,,42017550960.0,20283843000.0,207.14788,207.14788,3744064000.0,18940356000.0,19.76765,19.76765,20283843000.0,55752157000.0,36.38216,36.38217,237386000.0,55752157000.0,0.42578,0.42579,,,,,,,,,,,,,1579615000.0,23852.0,66225.68338,66225.68338,1322000.0,174.0,7597.70114,7597.70115,5849.0,115.0,50.86086,50.86087,550.0,5706.0,9.63897,9.63898,,,,,536494000.0,5939.0,90334.06297,90334.06297,6.8,5849.0,1.16259,1.16259,143.4819,174.0,0.8246,0.82461,21.8466,174.0,0.12555,0.12556,29.095,174.0,0.16721,0.16721,6686989.0,174.0,38430.97126,38430.97126,11.09897,746.0,1104.0,67.57246,67.57246,,,,
2015,2,경남대학교,사립,경남,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,12013.0,12808.0,14088.0,14088.0,14088.0,461.0,662.0,69.63746,69.63746,,,183083.0,194950.0,93.91279,93.9128,2974.0,3010.0,98.80398,98.80399,12013.0,12689.0,94.67255,94.67255,,122090372500.0,91007718000.0,134.15386,134.15387,14514512000.0,81827453000.0,17.73794,17.73795,91007718000.0,126607724000.0,71.88164,71.88165,1010675000.0,126607724000.0,0.79827,0.79827,2300000000.0,126607724000.0,1.81663,1.81663,,,,,,,,,1079040000.0,21571.5,50021.55622,50021.55622,468500.0,461.0,1016.26898,1016.26898,14088.0,242.0,58.21487,58.21488,1634.0,13197.0,12.3816,12.3816,,,,,1034998341.0,14624.0,70773.95657,70773.95658,14.8,14088.0,1.05053,1.05054,348.1417,461.0,0.75518,0.75519,59.8314,461.0,0.12978,0.12979,54.1815,461.0,0.11753,0.11753,13459467.0,461.0,29196.24078,29196.24078,9.35203,1577.0,2647.0,59.57687,59.57688,,,,
2015,2,경동대학교,사립,강원,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,5296.0,5875.0,5875.0,5875.0,5875.0,204.0,298.0,68.45637,68.45638,,,158146.0,115512.0,136.90871,136.90872,1824.0,1797.0,101.5025,101.5025,5296.0,6308.0,83.95688,83.95688,,43238585000.0,39477677000.0,109.52666,109.52667,7788675000.0,39424442000.0,19.75595,19.75595,39477677000.0,57742942000.0,68.36796,68.36797,213737000.0,57742942000.0,0.37015,0.37015,911214000.0,57742942000.0,1.57805,1.57805,,,,,,,,,574050000.0,13650.0,42054.94505,42054.94505,205651.0,204.0,1008.09313,1008.09314,5875.0,80.0,73.4375,73.4375,3036.0,5788.0,52.45335,52.45335,,,,,315130728.0,5186.0,60765.66293,60765.66294,4.6,5875.0,0.78297,0.78298,65.9914,204.0,0.32348,0.32349,15.4948,204.0,0.07595,0.07595,26.8658,204.0,0.13169,0.1317,483692.0,204.0,2371.03921,2371.03922,4.5618,380.0,547.0,69.46983,69.46984,,,,
2015,2,경북대학교,국립,대구,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,21849.0,24105.0,30890.0,30890.0,30890.0,945.0,1487.0,63.55077,63.55077,,,605964.0,407148.0,148.83138,148.83138,4941.0,4965.0,99.51661,99.51662,21849.0,19843.0,110.10935,110.10936,,378683039492.0,119286351000.0,317.45714,317.45714,19592619000.0,95312893000.0,20.5561,20.55611,119286351000.0,292801621000.0,40.73964,40.73965,7122254000.0,292801621000.0,2.43245,2.43245,,,,,,,,,,,,,3903938199.9999995,55873.6,69870.89072,69870.89072,5495875.0,1239.0,4435.73446,4435.73446,30890.0,730.0,42.31506,42.31507,5917.0,28939.0,20.44645,20.44646,,,,,4720425000.0,30971.0,152414.35536,152414.35536,58.1,30890.0,1.88086,1.88087,840.7547,1239.0,0.67857,0.67858,732.2394,1239.0,0.59099,0.59099,124.6211,1239.0,0.10058,0.10058,134570086.0,1239.0,108611.8531,108611.85311,26.0567,2521.0,4211.0,59.86701,59.86701,,,,
2015,2,경상국립대학교,국립,경남,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,14095.0,15272.0,17950.0,17950.0,17950.0,625.0,838.0,74.58233,74.58234,,,383615.0,238508.0,160.83946,160.83947,3220.0,3222.0,99.93792,99.93793,14095.0,13140.0,107.26788,107.26788,,196239022480.0,65281818000.0,300.60287,300.60288,11441395000.0,55927494000.0,20.45754,20.45755,65281818000.0,192116852000.0,33.98026,33.98027,10041898000.0,192116852000.0,5.22697,5.22697,,,,,,,,,,,,,1805338500.0,25237.2,71534.81765,71534.81765,1781038.0,802.0,2220.74563,2220.74564,17950.0,424.0,42.3349,42.33491,4756.0,17015.0,27.9518,27.95181,,,,,3264375510.0,18006.0,181293.76374,181293.76375,27.2,17950.0,1.51532,1.51532,458.9826,802.0,0.57229,0.5723,365.9735,802.0,0.45632,0.45633,96.7525,802.0,0.12063,0.12064,47894739.0,802.0,59719.12593,59719.12594,18.45698,1463.0,2658.0,55.04138,55.04138,,,,
2015,2,경성대학교,사립,부산,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,12091.0,13202.0,14008.0,14008.0,14008.0,434.0,647.0,67.07882,67.07883,,,182936.0,191050.0,95.75294,95.75294,2851.0,2860.0,99.68531,99.68531,12091.0,12254.0,98.66982,98.66982,,112821711250.0,89740556000.0,125.71987,125.71987,15445409000.0,83422743000.0,18.51462,18.51463,89740556000.0,128590517000.0,69.78784,69.78785,620727000.0,128590517000.0,0.48271,0.48272,241897000.0,128590517000.0,0.18811,0.18811,,,,,,,,,1363365000.0,30297.0,45000.0,45000.0,1157284.0,434.0,2666.55299,2666.553,14008.0,238.0,58.85714,58.85714,1481.0,13557.0,10.92424,10.92425,,,,,1405605490.0,14514.0,96844.80432,96844.80433,13.9,14008.0,0.99229,0.99229,268.7421,434.0,0.61922,0.61922,37.811,434.0,0.08712,0.08712,51.2804,434.0,0.11815,0.11816,6605713.0,434.0,15220.53686,15220.53687,6.72166,1521.0,2428.0,62.64415,62.64415,,,,
2015,2,경운대학교,사립,경북,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,4791.0,5071.0,5211.0,5211.0,5211.0,219.0,260.0,84.23076,84.23077,,,103332.0,79502.0,129.97408,129.97409,1215.0,1217.0,99.83566,99.83566,4791.0,5203.0,92.08149,92.08149,,44798287300.0,37594778000.0,119.16093,119.16093,9088437000.0,36432019000.0,24.94628,24.94629,37594778000.0,52232676000.0,71.97559,71.97559,256279000.0,52232676000.0,0.49064,0.49065,130000000.0,52232676000.0,0.24888,0.24889,,,,,,,,,804710000.0,17392.0,46268.97424,46268.97424,244880.0,219.0,1118.17351,1118.17352,5211.0,117.0,44.53846,44.53846,1556.0,5143.0,30.25471,30.25472,,,,,274736582.0,5387.0,50999.9224,50999.92241,5.1,5211.0,0.97869,0.9787,84.834,219.0,0.38736,0.38737,5.3699,219.0,0.02452,0.02452,31.037,219.0,0.14172,0.14172,1718149.0,219.0,7845.42922,7845.42922,4.4063,753.0,1101.0,68.39237,68.39237,,,,
