기준년도,학교명,법인명,설립,학급,학종,지역,회계,운영수입,등록금수입,기부금수입,등록금비율,기부금비율,source_file_name,source_sheet_name
2016,가톨릭대학교,가톨릭학원,사립,대학,일반,서울,교비,188185650.0,89580438.0,6030018.0,47.6,3.2,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,감리교신학대학교,감리교신학원,사립,대학,일반,서울,교비,14066097.0,9868901.0,544869.0,70.16,3.87,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,강남대학교,강남학원,사립,대학,일반,경기,교비,75629395.0,54024227.0,1735843.0,71.43,2.3,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,강서대학교,한국그리스도의교회학원,사립,대학,일반,서울,교비,15787078.0,9854179.0,331697.0,62.42,2.1,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,건국대학교,건국대학교,사립,대학,일반,서울,교비,379474966.0,237078467.0,6120130.0,62.48,1.61,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,건양대학교,건양학원,사립,대학,일반,충남,교비,117220003.0,57348592.0,2865023.0,48.92,2.44,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,경기대학교,경기학원,사립,대학,일반,경기,교비,177810679.0,120997908.0,4664928.0,68.05,2.62,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,경남대학교,한마학원,사립,대학,일반,경남,교비,121764225.0,84654987.0,2346889.0,69.52,1.93,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,경동대학교,경동대학교,사립,대학,일반,강원,교비,70608553.0,50426301.0,461175.0,71.42,0.65,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,경성대학교,한성(韓星)학원,사립,대학,일반,부산,교비,124266897.0,84295053.0,818249.0,67.83,0.66,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,경운대학교,숭선학원,사립,대학,일반,경북,교비,68597235.0,36836776.0,228283.0,53.7,0.33,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,경일대학교,일청학원,사립,대학,일반,경북,교비,74475290.0,47462066.0,1714040.0,63.73,2.3,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,경주대학교,원석학원,사립,대학,일반,경북,교비,18215523.0,13403465.0,119674.0,73.58,0.66,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,경희대학교,경희학원,사립,대학,일반,서울,교비,464446464.0,289250977.0,18219319.0,62.28,3.92,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,계명대학교,계명대학교,사립,대학,일반,대구,교비,280805069.0,170622056.0,4204599.0,60.76,1.5,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,고려대학교,고려중앙학원,사립,대학,일반,서울,교비,651636079.0,355350531.0,41318330.0,54.53,6.34,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,고신대학교,대한예수교장로회총회고려학원,사립,대학,일반,부산,교비,50899254.0,31579434.0,3800933.0,62.04,7.47,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,광신대학교,광신학원,사립,대학,일반,광주,교비,8658508.0,5276832.0,652492.0,60.94,7.54,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,광운대학교,광운학원,사립,대학,일반,서울,교비,107910197.0,76723171.0,1635272.0,71.1,1.52,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,광주가톨릭대학교,대건학당,사립,대학,일반,전남,교비,1747965.0,0.0,206973.0,0.0,11.84,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,광주대학교,호심학원,사립,대학,일반,광주,교비,72609960.0,48763209.0,739563.0,67.16,1.02,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,광주여자대학교,송강학원,사립,대학,일반,광주,교비,39741305.0,25901805.0,296315.0,65.18,0.75,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,국민대학교,국민학원,사립,대학,일반,서울,교비,208952799.0,146925450.0,5891637.0,70.32,2.82,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,극동대학교,일현학원,사립,대학,일반,충북,교비,41018241.0,28867310.0,181775.0,70.38,0.44,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,금강대학교,금강대학교,사립,대학,일반,충남,교비,11093340.0,3151636.0,72602.0,28.41,0.65,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,김천대학교,김천대학교,사립,대학,일반,경북,교비,37356095.0,26944721.0,236159.0,72.13,0.63,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,꽃동네대학교,꽃동네현도학원,사립,대학,일반,충북,교비,8674069.0,3640047.0,331155.0,41.96,3.82,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,나사렛대학교,나사렛학원,사립,대학,일반,충남,교비,62359603.0,41353891.0,808801.0,66.32,1.3,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,남부대학교,우암학원,사립,대학,일반,광주,교비,36109829.0,21880601.0,126895.0,60.59,0.35,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,남서울대학교,성암학원,사립,대학,일반,충남,교비,120196843.0,78744856.0,738450.0,65.51,0.61,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,단국대학교,단국대학,사립,대학,일반,경기,교비,317452146.0,221770924.0,10799126.0,69.86,3.4,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대구가톨릭대학교,선목학원,사립,대학,일반,경북,교비,163582060.0,101487479.0,1904028.0,62.04,1.16,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대구대학교,영광학원,사립,대학,일반,경북,교비,215478676.0,136039934.0,2852914.0,63.13,1.32,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대구예술대학교,세기학원,사립,대학,일반,경북,교비,15088383.0,11192350.0,117251.0,74.18,0.78,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대구외국어대학교,경북교육재단,사립,대학,일반,경북,교비,2537393.0,1646898.0,13100.0,64.91,0.52,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대구한의대학교,제한학원,사립,대학,일반,경북,교비,80705897.0,50486493.0,778575.0,62.56,0.96,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대신대학교,대구신학원,사립,대학,일반,경북,교비,5051301.0,2882861.0,164550.0,57.07,3.26,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대전가톨릭대학교,천주교대전교구대지학원,사립,대학,일반,세종,교비,3974819.0,684260.0,1559992.0,17.21,39.25,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대전대학교,혜화학원,사립,대학,일반,대전,교비,108849328.0,74026460.0,688200.0,68.01,0.63,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대전신학대학교,대전신학대학교,사립,대학,일반,대전,교비,3481820.0,1594653.0,175094.0,45.8,5.03,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,대진대학교,대진대학교,사립,대학,일반,경기,교비,90860356.0,58424248.0,468900.0,64.3,0.52,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,덕성여자대학교,덕성학원,사립,대학,일반,서울,교비,63784963.0,42639055.0,547976.0,66.85,0.86,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,동국대학교,동국대학교,사립,대학,일반,서울,교비,326347673.0,216020442.0,13122736.0,66.19,4.02,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,동덕여자대학교,동덕여학단,사립,대학,일반,서울,교비,77308007.0,54130928.0,680184.0,70.02,0.88,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2016,동명대학교,동명문화학원,사립,대학,일반,부산,교비,94717458.0,55529424.0,1003260.0,58.63,1.06,2016회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
