reference_year,row_no,university_name,school_type,founding_type,region_name,size_group,regular_staff_certified,regular_staff_not_certified,non_regular_staff_certified,non_regular_staff_not_certified,total_staff_certified,total_staff_not_certified,enrolled_students,library_staff_per_1000_students_original,student_count_basis,schema_group,library_staff_per_1000_students_recalculated,source_file_name,metric_calc_status,metric_value_was_infinite_or_invalid,scope_school_id,is_scope34_exact,is_comparison11,standardization_source
2008,244,숙명여자대학교,대학,사립,서울,A그룹,15.0,4.0,3.0,3.0,18.0,7.0,13352,1.7000000476837158,current_year,legacy_2008_2016,1.6551827441581786,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000141,True,True,processed_csv_candidate_not_raw_verified
2008,249,숭실대학교,대학,사립,서울,A그룹,13.0,0.0,0.0,0.0,13.0,0.0,19471,0.699999988079071,current_year,legacy_2008_2016,0.6676595963227363,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000143,True,True,processed_csv_candidate_not_raw_verified
2008,269,연세대학교,대학,사립,서울,A그룹,45.0,14.0,14.0,29.0,59.0,43.0,27499,3.0,current_year,legacy_2008_2016,2.9782901196407146,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000149,True,False,processed_csv_candidate_not_raw_verified
2008,304,이화여자대학교,대학,사립,서울,A그룹,29.0,4.0,28.0,3.0,57.0,7.0,20983,2.700000047683716,current_year,legacy_2008_2016,2.6735929085450127,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000163,True,True,processed_csv_candidate_not_raw_verified
2008,313,장로회신학대학교,대학,사립,서울,C그룹,3.0,3.0,3.0,0.0,6.0,3.0,2760,2.799999952316284,current_year,legacy_2008_2016,2.8260869565217392,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000170,True,False,processed_csv_candidate_not_raw_verified
2008,334,중앙대학교,대학,사립,서울,A그룹,35.0,1.0,3.0,4.0,38.0,5.0,24871,1.600000023841858,current_year,legacy_2008_2016,1.6163403160307184,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000175,True,False,processed_csv_candidate_not_raw_verified
2008,348,총신대학교,대학,사립,서울,C그룹,6.0,1.0,0.0,0.0,6.0,1.0,2134,3.200000047683716,current_year,legacy_2008_2016,3.1865042174320526,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000180,True,False,processed_csv_candidate_not_raw_verified
2008,349,추계예술대학교,대학,사립,서울,C그룹,3.0,1.0,0.0,0.0,3.0,1.0,1796,2.0999999046325684,current_year,legacy_2008_2016,2.1158129175946545,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000181,True,False,processed_csv_candidate_not_raw_verified
2008,378,한국성서대학교,대학,사립,서울,C그룹,2.0,2.0,0.0,0.0,2.0,2.0,1217,3.0,current_year,legacy_2008_2016,2.9580936729663105,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000191,True,False,processed_csv_candidate_not_raw_verified
2008,384,한국외국어대학교,대학,사립,서울,A그룹,31.0,0.0,0.0,1.0,31.0,1.0,17819,1.7999999523162842,current_year,legacy_2008_2016,1.7677759694707895,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000192,True,False,processed_csv_candidate_not_raw_verified
2008,436,한성대학교,대학,사립,서울,B그룹,10.0,0.0,3.0,3.0,13.0,3.0,7486,1.899999976158142,current_year,legacy_2008_2016,1.856799358803099,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000200,True,True,processed_csv_candidate_not_raw_verified
2008,439,한양대학교,대학,사립,서울,A그룹,35.0,2.0,0.0,3.0,35.0,5.0,31675,1.2000000476837158,current_year,legacy_2008_2016,1.20284135753749,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000203,True,False,processed_csv_candidate_not_raw_verified
2008,454,홍익대학교,대학,사립,서울,A그룹,25.0,4.0,6.0,6.0,31.0,10.0,21737,1.7000000476837158,current_year,legacy_2008_2016,1.656162303905783,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000212,True,False,processed_csv_candidate_not_raw_verified
2009,8,감리교신학대학교,대학,사립,서울,C그룹,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,current_year,legacy_2008_2016,,기본통계_인적자원_20260422112934(7).xlsx,not_calculable_or_missing,True,0000050,True,False,processed_csv_candidate_not_raw_verified
2009,12,강서대학교,대학,사립,서울,C그룹,1.0,0.0,2.0,0.0,3.0,0.0,1506,1.7000000476837158,current_year,legacy_2008_2016,1.7264276228419655,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000079,True,False,processed_csv_candidate_not_raw_verified
2009,18,건국대학교,대학,사립,서울,A그룹,15.0,6.0,15.0,2.0,30.0,8.0,19289,1.7000000476837158,current_year,legacy_2008_2016,1.7004510342682355,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000052,True,False,processed_csv_candidate_not_raw_verified
2009,43,경희대학교,대학,사립,서울,A그룹,31.0,5.0,17.0,19.0,48.0,24.0,31174,1.899999976158142,current_year,legacy_2008_2016,1.863732597677552,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000066,True,False,processed_csv_candidate_not_raw_verified
2009,48,고려대학교,대학,사립,서울,A그룹,43.0,5.0,12.0,1.0,55.0,6.0,29151,2.0,current_year,legacy_2008_2016,1.958766423107269,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000069,True,False,processed_csv_candidate_not_raw_verified
2009,57,광운대학교,대학,사립,서울,B그룹,7.0,2.0,5.0,0.0,12.0,2.0,9606,1.2999999523162842,current_year,legacy_2008_2016,1.311680199875078,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000074,True,True,processed_csv_candidate_not_raw_verified
2009,80,국민대학교,대학,사립,서울,A그룹,11.0,1.0,8.0,15.0,19.0,16.0,16254,1.600000023841858,current_year,legacy_2008_2016,1.58114925556786,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000078,True,False,processed_csv_candidate_not_raw_verified
2009,130,덕성여자대학교,대학,사립,서울,B그룹,9.0,1.0,4.0,4.0,13.0,5.0,6038,2.5,current_year,legacy_2008_2016,2.484266313348791,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000099,True,True,processed_csv_candidate_not_raw_verified
2009,132,동국대학교,대학,사립,서울,A그룹,18.0,2.0,0.0,0.0,18.0,2.0,16212,1.2000000476837158,current_year,legacy_2008_2016,1.208981001727116,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000100,True,False,processed_csv_candidate_not_raw_verified
2009,135,동덕여자대학교,대학,사립,서울,B그룹,8.0,0.0,5.0,0.0,13.0,0.0,7622,1.600000023841858,current_year,legacy_2008_2016,1.574389923904487,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000102,True,True,processed_csv_candidate_not_raw_verified
2009,183,삼육대학교,대학,사립,서울,B그룹,6.0,4.0,0.0,2.0,6.0,6.0,5261,1.899999976158142,current_year,legacy_2008_2016,1.9387949059114236,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000116,True,False,processed_csv_candidate_not_raw_verified
2009,185,상명대학교,대학,사립,서울,A그룹,14.0,4.0,1.0,2.0,15.0,6.0,13695,1.399999976158142,current_year,legacy_2008_2016,1.3873676524278935,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000117,True,False,processed_csv_candidate_not_raw_verified
2009,188,서강대학교,대학,사립,서울,A그룹,19.0,6.0,5.0,2.0,24.0,8.0,11049,2.5999999046325684,current_year,legacy_2008_2016,2.60657073038284,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000120,True,False,processed_csv_candidate_not_raw_verified
2009,189,서경대학교,대학,사립,서울,B그룹,2.0,6.0,1.0,0.0,3.0,6.0,6637,1.100000023841858,current_year,legacy_2008_2016,1.1450956757571191,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000121,True,True,processed_csv_candidate_not_raw_verified
2009,196,서울기독대학교,대학,사립,서울,C그룹,1.0,0.0,0.0,1.0,1.0,1.0,832,1.7999999523162842,current_year,legacy_2008_2016,1.8028846153846152,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000098,True,False,processed_csv_candidate_not_raw_verified
