reference_year,survey_round,school_code,campus_type,university_name,field_category,school_type,region_name,founding_type,source_file_name,교원확보율(전임교원)(편제정원),교원확보율(전임교원)(재학생),교원확보율(겸임포함)(편제정원),교원확보율(겸임포함)(재학생),교원확보율(초빙포함)(편제정원),교원확보율(초빙포함)(재학생),겸임교원확보율(편제정원),겸임교원확보율(재학생),겸임교원확보율(편제정원_최종),겸임교원확보율(재학생_최종)
2015,201501,53021000,,광신대학교 본교,인문사회,,,,2015년교원확보율.xlsx,72.55,90.24,88.24,109.76,88.24,109.76,15.69,19.52,4.0,4.0
2015,201501,53021000,,광신대학교 본교,자연과학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53021000,,광신대학교 본교,총계,,,,2015년교원확보율.xlsx,75.0,93.75,90.0,112.5,90.0,112.5,15.0,18.75,4.0,4.0
2015,201501,53022000,,광운대학교 본교,공학,,,,2015년교원확보율.xlsx,65.02,56.2,68.61,59.3,69.06,59.69,3.59,3.1,1.077,0.93
2015,201501,53022000,,광운대학교 본교,소계,,,,2015년교원확보율.xlsx,77.16,67.41,82.98,72.51,85.55,74.75,5.82,5.1,1.746,1.53
2015,201501,53022000,,광운대학교 본교,예체능,,,,2015년교원확보율.xlsx,81.82,90.0,100.0,110.0,100.0,110.0,18.18,20.0,4.0,4.0
2015,201501,53022000,,광운대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53022000,,광운대학교 본교,인문사회,,,,2015년교원확보율.xlsx,85.53,74.73,94.97,82.97,101.26,88.46,9.44,8.24,2.832,2.472
2015,201501,53022000,,광운대학교 본교,자연과학,,,,2015년교원확보율.xlsx,113.89,100.0,113.89,100.0,113.89,100.0,0.0,0.0,0.0,0.0
2015,201501,53022000,,광운대학교 본교,총계,,,,2015년교원확보율.xlsx,77.16,67.41,82.98,72.51,85.55,74.75,5.82,5.1,1.746,1.53
2015,201501,53023000,,광주가톨릭대학교 본교,공학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53023000,,광주가톨릭대학교 본교,소계,,,,2015년교원확보율.xlsx,177.78,266.67,177.78,266.67,177.78,266.67,0.0,0.0,0.0,0.0
2015,201501,53023000,,광주가톨릭대학교 본교,예체능,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
