공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,설립구분,소재지유형,지역명,학교상태,기준년도,입학정원(학부),재학생수(학부),전임교원수(학부+대학원),졸업자,취업자,진학자,입대자,취업불가능자,외국인유학생,건강보험직장가입제외대상,취업률(%)
2025,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2060,9404,324,1880,1006,189,0,2,23,0,60.4
2025,0000141,0000141,숙명여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2160,10134,419,2220,1226,238,0,0,19,0,62.5
2025,0000163,0000163,이화여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3260,16452,961,3201,1584,607,0,1,140,0,64.6
2024,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2023,2060,9254,321,1979,1085,169,0,0,12,16,60.9
2024,0000141,0000141,숙명여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2023,2170,10219,415,2180,1231,249,0,2,15,7,64.6
2024,0000163,0000163,이화여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2023,3197,15933,969,3403,1760,516,0,1,213,7,66
2023,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2022,2195,9229,312,2346,1316,205,0,0,10,8,62
2023,0000141,0000141,숙명여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2022,2180,10348,422,2588,1511,293,0,0,5,4,66.1
2023,0000163,0000163,이화여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2022,3167,15940,981,3935,2138,511,0,0,268,5,67.9
