공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,설립구분,소재지유형,지역명,학교상태,기준년도,입학정원(학부),재학생수(학부),졸업생수(학부),전임교원수,연구비(교내),연구비(교외),대응자금(교내),대응자금(교외),교내 합계,교외 합계,전임교원 1인당 연구비(교내),전임교원 1인당 연구비(교외)
2025,46,48,가톨릭대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,173,912,101.0,1011,3777040,140204751,0,0,3777040,140204751,3735.9,138679.3
2025,46,49,가톨릭대학교,제3캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,50,197,31.0,15,80000,0,0,0,80000,0,5333.3,0.0
2025,50,50,감리교신학대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,192,564,170.0,24,109500,20000,0,0,109500,20000,4562.5,833.3
2025,79,79,강서대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,277,1742,504.0,54,60149,257038,0,0,60149,257038,1113.9,4760.0
2025,52,52,건국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3000,15960,3410.0,657,5744475,83512595,481333,288900,6225808,83801495,9476.1,127551.7
2025,56,58,경기대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,328,1841,477.0,31,52883,153875,0,0,52883,153875,1705.9,4963.7
2025,66,66,경희대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4873,25573,5776.0,1395,14605633,166683251,2998224,563700,17603857,167246951,12619.3,119890.3
2025,69,69,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4142,21772,4206.0,1601,22181175,464860251,2189931,0,24371106,464860251,15222.4,290356.2
2025,74,74,광운대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1823,8414,1970.0,307,3058038,44745320,617210,100000,3675248,44845320,11971.5,146076.0
2025,78,78,국민대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2966,14502,3301.0,651,7091259,66915237,656774,230300,7748033,67145537,11901.7,103142.1
