공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,설립구분,소재지유형,지역명,학교상태,기준년도,입학정원(학부),재학생수(학부),졸업생수(학부),"전임
교원",논문실적 총계,논문실적(국내),"논문실적(국내, 연구재단등재지(후보포함))",논문실적(기타국내발간일반학술지),논문실적(국제),"논문실적(국제, SCI급/SCOPUS학술지)","논문실적(국제, 기타국제발간일반학술지)",전임교원1인당논문실적(국내),전임교원1인당논문실적(국제),"전임교원1인당논문실적(국내, 연구재단등재지(후보포함))","전임교원1인당논문실적(국제, SCI급/SCOPUS학술지)"
2025,0000069,0000069,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4142,21772,4206,1601,1860.0103,500.974,475.6851,25.2889,1359.0363,1349.1166,9.9197,0.3129,0.8489,0.2971,0.8427
2025,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2060,9404,1939,324,253.4555,178.6516,174.0891,4.5625,74.8039,74.8039,0,0.5514,0.2309,0.5373,0.2309
2025,0000149,0000149,연세대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3555,21005,4461,1820,2108.089,490.8606,469.4439,21.4167,1617.2284,1591.5591,25.6693,0.2697,0.8886,0.2579,0.8745
2024,0000069,0000069,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2023,3992,20582,4219,1556,1752.1392,493.2134,482.5867,10.6267,1258.9258,1250.4653,8.4605,0.317,0.8091,0.3101,0.8036
2024,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2023,2060,9254,1880,321,250.6149,182.912,180.8287,2.0833,67.7029,67.3696,0.3333,0.5698,0.2109,0.5633,0.2099
2024,0000149,0000149,연세대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2023,3495,20066,4204,1786,2103.4913,533.2457,509.6267,23.619,1570.2456,1534.8328,35.4128,0.2986,0.8792,0.2853,0.8594
2023,0000069,0000069,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2022,3884,20373,4391,1525,1829.5357,529.1851,495.0606,34.1245,1300.3506,1277.916,22.4346,0.347,0.8527,0.3246,0.838
2023,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2022,2195,9229,1979,312,227.8655,177.9311,173.4311,4.5,49.9344,49.7344,0.2,0.5703,0.16,0.5559,0.1594
2023,0000149,0000149,연세대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2022,3471,20335,4030,1746,2272.9506,578.2592,557.2135,21.0457,1694.6914,1653.0366,41.6548,0.3312,0.9706,0.3191,0.9468
